"",,2000 TORNADO FATALITIES BY STATE AND LOCATION,,
STATE,BU,LS MH OT OU PH SC,VE,TOTAL
AL,0,0 11 0 0 1 0,1,13
GA,0,0 17 0 0 2 0,0,19
IA,0,0 0 0 0 1 0,0,1
MN,0,0 0 0 0 1 0,0,1
OH,0,0 0 0 0 0 0,1,1
SC,0,0 0 0 0 0 0,1,1
TN,0,0 0 0 0 0 0,1,1
TX,0,0 0 0 2 2 0,0,4
TOTAL,0,0 28 0 2 7 0,4,41
PERCENT,0,0 68 0 5 17 0,10,100
2000 TORNADO FATALITIES BY AGE AND GENDER,,
FEMALE MALE UNKNOWN TOTAL PERCENT,,
0 TO 9 1 2 0 3 7,,
10 TO 19 2 2 0 4 10,,LEGEND
20 TO 29 2 2 0 4 10,,
30 TO 39 4 0 0 4 10,BU,- Business
40 TO 49 2 2 0 4 10,LS,- Long-Span Roof
50 TO 59 7 1 0 8 20,MH- Mobile Home,
60 TO 69 2 4 0 6 15,OT,- Other/Unknown
70 TO 79 1 2 0 3 7,OU - Outside Open,
80 TO 89 2 2 0 4 10,PH,- Permanent Home
90 TO -- 1 0 0 1 2,SC,- School
UNKNOWN 0 0 0 0 0,VE,- Vehicle
TOTAL 24 17 0 41 101*,,
PERCENT 59 41 0 100,,
