"",,2005 TORNADO FATALITIES BY STATE AND LOCATION,,
STATE,BU,LS MH OT OU PH SC,VE,TOTAL
AR,0,0 2 0 0 0 0,1,3
GA,0,0 3 0 1 0 0,0,4
IA,0,0 0 0 0 1 0,0,1
IN,0,0 23 0 0 0 0,1,24
KY,0,0 1 0 0 0 0,0,1
MO,0,0 0 0 0 1 0,0,1
MS,0,0 1 0 0 0 0,0,1
WI,0,0 0 0 0 1 0,0,1
WY,0,0 2 0 0 0 0,0,2
TOTAL,0,0 32 0 1 3 0,2,38
PERCENT,0,0 84 0 3 8 0,5,100
2005 TORNADO FATALITIES BY AGE AND GENDER,,
FEMALE MALE UNKNOWN TOTAL PERCENT,,
0 TO 9 1 3 0 4 11,,
10 TO 19 1 0 0 1 3,,LEGEND
20 TO 29 2 3 0 5 13,,
30 TO 39 2 3 0 5 13,BU,- Business
40 TO 49 3 1 0 4 11,LS,- Long-Span Roof
50 TO 59 1 5 0 6 16,MH- Mobile Home,
60 TO 69 4 3 0 7 18,OT,- Other/Unknown
70 TO 79 1 1 0 2 5,OU - Outside Open,
80 TO 89 2 1 0 3 8,PH,- Permanent Home
90 TO -- 0 1 0 1 3,SC,- School
UNKNOWN 0 0 0 0 0,VE,- Vehicle
TOTAL 17 21 0 38 101*,,
PERCENT 45 55 0 100,,
