"",,2006 TORNADO FATALITIES BY STATE AND LOCATION,,
STATE,BU,LS MH OT OU PH SC,VE,TOTAL
AL,0,0 0 0 0 1 0,0,1
IA,0,0 1 0 0 0 0,0,1
IL,1,0 0 0 0 0 0,0,1
LA,0,0 1 0 0 0 0,0,1
MN,0,0 0 0 0 2 0,0,2
MO,0,0 3 0 0 6 0,4,13
NC,0,0 9 0 0 0 0,0,9
PA,0,0 0 0 0 0 0,1,1
TN,1,0 12 0 0 19 0,2,34
TX,0,0 2 0 0 1 0,0,3
2006 TORNADO FATALITIES BY AGE AND GENDER,,
FEMALE MALE UNKNOWN TOTAL PERCENT,,
0 TO 9 0 4 0 4 6,,
10 TO 19 1 3 0 4 6,,LEGEND
20 TO 29 4 5 0 9 13,,
30 TO 39 2 2 0 4 6,BU,- Business
40 TO 49 9 3 0 12 18,LS,- Long-Span Roof
50 TO 59 8 4 0 12 18,MH- Mobile Home,
60 TO 69 3 8 0 11 16,OT,- Other/Unknown
70 TO 79 0 2 0 2 3,OU - Outside Open,
80 TO 89 3 4 0 7 10,PH,- Permanent Home
90 TO -- 1 1 0 2 3,SC,- School
UNKNOWN 0 0 0 0 0,VE,- Vehicle
TOTAL 31 36 0 67 99 *,,
PERCENT 46 54 0 100,,
